
      0  1  1  0  1      -101.921      -81.7116             0             0             0             0             0           204             0             0
      0  2  1  0  1       181.841      -29.1667             0             0             0             0       39.4491           200             0             0
      0  2  0  2  2             0             0             0            23      0.120519            23             0             0       42.5621           215
      1  1  0  2  2             0             0             0            13             0            13             0             0             0           212
      1  2  1  0  1      -89.5126       97.5171             0             0             0             0       24.1719           205             0             0
      1  2  0  0  1             0             0             0             0             0             0       55.7674           201             0             0
      2  1  0  0  1             0             0             0             0             0             0             0           205             0             0
      2  2  1  0  1      -21.5988      -114.395             0             0             0             0       21.8819           206             0             0
      2  2  0  0  1             0             0             0             0             0             0       26.6034           207             0             0
      3  1  0  2  2             0             0             0             6             0             6             0             0             0           200
      3  2  0  1  2             0             0      0.125456            18             0             0       21.5007            18       39.4213           200
      4  1  0  0  1             0             0             0             0             0             0             0           201             0             0
      4  2  1  0  1       73.5025       16.8538             0             0             0             0       26.9017           201             0             0
      4  2  0  0  1             0             0             0             0             0             0       33.0139           204             0             0
      5  1  0  0  1             0             0             0             0             0             0             0           205             0             0
      5  2  1  0  1       15.0624      -61.1705             0             0             0             0       34.7713           202             0             0
      5  2  0  0  1             0             0             0             0             0             0        34.524           203             0             0
      6  1  1  0  1      -163.534       48.6258             0             0             0             0             0           203             0             0
      6  2  0  1  2             0             0      0.126577            11             0             0        16.388            11       41.4212           214
      6  2  1  0  1       122.325       79.1892             0             0             0             0       23.6611           205             0             0
      7  1  0  0  2             0             0             0             0             0             0             0            12             0           214
      7  2  1  0  1       156.519       74.9029             0             0             0             0        26.001           205             0             0
      7  2  1  0  1      -147.593       83.4905             0             0             0             0       25.9292           205             0             0
      8  1  1  0  1      -3.94132        67.502             0             0             0             0             0           203             0             0
      8  2  0  2  2             0             0             0            17      0.128305            17             0             0       52.0539           204
      8  2  0  1  2             0             0      0.146331             7             0             0       16.0974             7       28.9961           204
      9  1  1  0  1       25.4083      -112.936             0             0             0             0             0           206             0             0
      9  2  0  0  1             0             0             0             0             0             0       30.9429           203             0             0
      9  2  0  1  2             0             0      0.144831             3             0             0       16.6476             3       26.9084           209
     10  1  0  2  2             0             0             0            16             0            16             0             0             0           206
     10  2  0  0  1             0             0             0             0             0             0        34.937           200             0             0
     10  2  1  0  1      -48.4555       49.9357             0             0             0             0       26.9842           203             0             0
     11  1  0  0  1             0             0             0             0             0             0             0           210             0             0
     11  2  1  0  1       104.158       33.9712             0             0             0             0       23.2124           203             0             0
     11  2  1  0  1      -162.195       18.2244             0             0             0             0        28.362           201             0             0
     12  1  0  0  1             0             0             0             0             0             0             0           200             0             0
     12  2  0  0  1             0             0             0             0             0             0       24.1848           210             0             0
     12  2  1  0  1      -79.9928       138.421             0             0             0             0       25.1594           207             0             0
     13  1  1  0  1       149.617       9.77402             0             0             0             0             0           201             0             0
     13  2  1  0  1      -89.4977      -100.306             0             0             0             0       23.6465           204             0             0
     13  2  1  0  1      -112.657       13.9528             0             0             0             0       26.1623           201             0             0
     14  1  0  0  1             0             0             0             0             0             0             0           200             0             0
     14  2  0  2  2             0             0             0            17      0.105662            17             0             0       50.5282           204
     14  2  0  0  1             0             0             0             0             0             0       27.8451           201             0             0
     15  1  0  2  2             0             0             0             8             0             8             0             0             0           206
     15  2  1  0  1       30.1412       59.7479             0             0             0             0       23.0977           203             0             0
     15  2  0  0  1             0             0             0             0             0             0       33.6644           200             0             0
     16  1  0  0  1             0             0             0             0             0             0             0           209             0             0
     16  2  1  0  1       183.397      -8.82822             0             0             0             0       25.7122           200             0             0
     16  2  1  0  1      -85.3378      -31.9216             0             0             0             0       33.3854           200             0             0
     17  1  1  0  1       65.3715       59.9142             0             0             0             0             0           203             0             0
     17  2  0  1  2             0             0      0.130039             8             0             0       22.8378             8       25.6219           210
     17  2  0  0  1             0             0             0             0             0             0       26.3869           200             0             0
     18  1  1  0  0      -112.365      -33.5216             0             0             0             0             0             0             0             0
     18  2  1  0  1       155.448      -21.7397             0             0             0             0       28.7005           200             0             0
     18  2  0  0  1             0             0             0             0             0             0       28.6174           211             0             0
     19  1  0  0  1             0             0             0             0             0             0             0           200             0             0
     19  2  0  0  1             0             0             0             0             0             0       22.0475           201             0             0
     19  2  0  1  2             0             0      0.133348            17             0             0       17.1116            17       30.8807           204
     20  1  1  0  1      -166.748       171.063             0             0             0             0             0           209             0             0
     20  2  1  0  1      -49.9295      -151.049             0             0             0             0         29.39           208             0             0
     20  2  0  0  1             0             0             0             0             0             0       27.3213           203             0             0
     21  1  1  0  1      -92.7387       109.699             0             0             0             0             0           207             0             0
     21  2  0  0  2             0             0             0             0             0             0       10.9419            13        29.228           212
     21  2  0  0  1             0             0             0             0             0             0       40.8539           201             0             0
     22  1  1  0  1       55.9051       77.8501             0             0             0             0             0           205             0             0
