
      0  1      0.104311     0.0135799      -2.53049       20496.3       113.483       43.5361       20496.3       20496.3             0             0             0             0       20496.3       20496.3             0             0
      0  2      0.104311     0.0135799      -2.53049       59805.8      -9.12143       31.3159       59805.7       59805.7             0             0             0             0       59784.4       59756.8             0             0
      0  2      0.104311     0.0135799      -2.53049       20496.3       113.483       43.5361             0             0       20496.2       20496.2       20496.1       20496.1             0             0       20453.1       20450.8
      1  1      0.370546      0.301831       1.42289       55922.2       5.18241       32.8644             0             0       55922.2       55922.2       55922.2       55922.2             0             0       55922.2       55922.2
      1  2      0.370546      0.301831       1.42289       76404.5       132.756       23.9132       76404.4       76404.4             0             0             0             0       76404.3       76378.1             0             0
      1  2      0.370546      0.301831       1.42289       55922.2       5.18241       32.8644             0       55922.1             0             0             0             0       55901.1       55766.5             0             0
      2  1      0.388791     0.0600998       2.94434       34412.3         146.9       40.4086             0             0             0             0             0             0       34412.3       34412.3             0             0
      2  2      0.388791     0.0600998       2.94434       81210.3      -100.875       21.4213       81210.3       81210.3             0             0             0             0       81210.1       81188.3             0             0
      2  2      0.388791     0.0600998       2.94434       34412.3         146.9       40.4086             0             0             0             0             0             0       34375.8       34349.3             0             0
      3  1     0.0566855      0.290489      0.708895        101690       122.739       2.21886             0             0        101690        101690        101690        101690             0             0        101690        101690
      3  2     0.0566855      0.290489      0.708895       25788.7      -176.957       42.6748             0             0       25788.6       25788.5             0             0       25788.5       25766.9       25766.7       25727.2
      4  1      0.185089      0.115214     -0.321872        8607.6      -18.1806       39.5267             0        8607.6             0             0             0             0        8607.6        8607.6             0             0
      4  2      0.185089      0.115214     -0.321872       92754.6       12.8605       14.0579       92754.6       92754.5             0             0             0             0       92754.4       92727.5             0             0
      4  2      0.185089      0.115214     -0.321872        8607.6      -18.1806       39.5267             0             0             0             0             0             0       8583.78       8550.76             0             0
      5  1      0.385926    0.00627686       2.22185         35582       168.072       40.0529             0             0             0             0             0             0         35582         35582             0             0
      5  2      0.385926    0.00627686       2.22185       95281.7      -76.5099       11.9292       95281.6       95281.6             0             0             0             0       95281.5       95078.6             0             0
      5  2      0.385926    0.00627686       2.22185         35582       168.072       40.0529             0             0             0             0             0             0       35567.4       35532.8             0             0
      6  1      0.108809      0.248973       2.52703         71931       32.8587       26.0621         71931         71931             0             0             0             0         71931         71931             0             0
      6  2      0.108809      0.248973       2.52703       22510.9      -78.1202       43.2807             0             0       22510.9       22510.8             0             0       22510.8       22494.4       22462.7       22452.8
      6  2      0.108809      0.248973       2.52703         71931       32.8587       26.0621         71931         71931             0             0             0             0       71930.8       71907.2             0             0
      7  1     0.0356312      0.151669       1.61933       63939.4       150.555       29.6024             0             0             0             0             0             0       63939.4       63939.4       63939.4       63939.4
      7  2     0.0356312      0.151669       1.61933       62602.3       25.5336       30.1645       62602.3       62602.2             0             0             0             0       62602.1       62576.1             0             0
      7  2     0.0356312      0.151669       1.61933       63939.4       150.555       29.6024         63939       63938.9             0             0             0             0       63938.8       63912.6             0             0
      8  1       0.11176      0.223633      -1.86473       32762.8      -15.7335       40.8943       32762.8       32762.8             0             0             0             0       32762.8       32762.8             0             0
      8  2       0.11176      0.223633      -1.86473       30461.3      -161.937       41.5368             0             0       30461.2       30461.2       30461.1       30461.1             0             0       30427.6       30395.8
      8  2       0.11176      0.223633      -1.86473       32762.8      -15.7335       40.8943             0             0       32762.7       32762.6             0             0       32762.6       32746.2         32735         32706
      9  1     0.0237461       0.15653      -2.77839       33301.1       33.8156       40.7379       33301.1       33301.1             0             0             0             0       33301.1       33301.1             0             0
      9  2     0.0237461       0.15653      -2.77839       42407.7       163.962       37.8285             0             0             0             0             0             0       42369.3       42338.4             0             0
