    0     46.9765      222.39
    0     46.9765      222.39
    0     306.912     336.484
    1     306.912     336.484
    1     306.912     336.484
    1     234.053     111.161
    2     234.053     111.161
    2     234.053     111.161
    2     355.321     63.0162
    3     355.321     63.0162
    3     355.321     63.0162
    4     350.994     265.529
    4     350.994     265.529
    4     209.391     126.713
    5     209.391     126.713
    5     209.391     126.713
    5     128.161     290.612
    6     128.161     290.612
    6     128.161     290.612
    6     115.699     182.073
    7     115.699     182.073
    7     115.699     182.073
    7     148.285     358.196
    8     148.285     358.196
    8     148.285     358.196
    8     232.669     10.1185
    9     232.669     10.1185
    9     232.669     10.1185
    9      155.27     217.817
   10      155.27     217.817
   10      155.27     217.817
   10     159.191     167.465
   11     159.191     167.465
   11     159.191     167.465
   11     289.751     88.6732
   12     289.751     88.6732
   12     289.751     88.6732
   12     351.086     112.132
   13     351.086     112.132
   13     351.086     112.132
   13      344.09     74.2173
   14      344.09     74.2173
   14      344.09     74.2173
   14     151.195     133.669
   15     151.195     133.669
   15     151.195     133.669
   15      197.94     200.766
   16      197.94     200.766
   16      197.94     200.766
   16     329.169     150.658
   17     329.169     150.658
   17     329.169     150.658
   17     21.5114     230.907
   18     21.5114     230.907
   18     21.5114     230.907
   18     164.644      104.52
   19     164.644      104.52
   19     164.644      104.52
   19      70.846     317.343
   20      70.846     317.343
   20      70.846     317.343
   20     120.432     323.786
   21     120.432     323.786
   21     120.432     323.786
   21      141.43     24.0702
   22      141.43     24.0702
   22      141.43     24.0702
   22     61.2178     140.213
   23     61.2178     140.213
   23     61.2178     140.213
   23     63.9531     219.526
   24     63.9531     219.526
   24     63.9531     219.526
   24     28.2162     146.918
   25     28.2162     146.918
   25     28.2162     146.918
   25     87.6621     16.3761
   26     87.6621     16.3761
   26     87.6621     16.3761
   26     304.944     102.738
   27     304.944     102.738
   27     304.944     102.738
   27     53.2604     190.558
   28     53.2604     190.558
   28     53.2604     190.558
   28     357.884     265.085
   29     357.884     265.085
   29     357.884     265.085
   29     103.183     318.449
   30     103.183     318.449
   30     103.183     318.449
   30     131.288     263.487
   31     131.288     263.487
   31     131.288     263.487
   31      214.87     134.324
   32      214.87     134.324
   32      214.87     134.324
   32     68.1776     327.577
   33     68.1776     327.577
   33     68.1776     327.577
   33     221.038     12.9138
   34     221.038     12.9138
   34     221.038     12.9138
   34     128.374     236.063
   35     128.374     236.063
   35     128.374     236.063
   35     339.222     219.622
   36     339.222     219.622
   36     339.222     219.622
   36      353.77     297.791
   37      353.77     297.791
   37     51.3897     197.388
   38     51.3897     197.388
   38     51.3897     197.388
   38     213.508     167.148
   39     213.508     167.148
   39     213.508     167.148
   39      310.38     136.621
   40      310.38     136.621
   40      310.38     136.621
   40     195.112     184.258
   41     195.112     184.258
   41     195.112     184.258
   41     42.1662      62.334
   42     42.1662      62.334
   42     42.1662      62.334
   42     294.287     150.637
   43     294.287     150.637
   43     294.287     150.637
   43     203.984     155.422
   44     203.984     155.422
   44     203.984     155.422
   44     112.047     244.015
   45     112.047     244.015
   45     112.047     244.015
   45      251.12     176.223
   46      251.12     176.223
   46      251.12     176.223
   46     53.8734     240.713
   47     53.8734     240.713
   47     53.8734     240.713
   47     205.655     272.818
   48     205.655     272.818
   48     205.655     272.818
   48     354.347     199.807
   49     354.347     199.807
   49     354.347     199.807
   49    0.354064     20.9108
   50    0.354064     20.9108
   50    0.354064     20.9108
   50     166.454     313.535
   51     166.454     313.535
   51     166.454     313.535
   51     273.381     125.486
   52     273.381     125.486
   52     273.381     125.486
   52     258.767     220.922
   53     258.767     220.922
   53     258.767     220.922
   53     302.936     292.061
   54     302.936     292.061
   54     302.936     292.061
   54     350.163      16.517
   55     350.163      16.517
   55     350.163      16.517
   55     64.6605     39.9349
